name,website,email,phone,address,mission_statement,year_founded,popu_served,twitter,facebook,linkedin,instagram,programs,county
"Adoption Options, Inc",http://www.adoption-options.com,[email protected],3036951601,"1355 S. Colorado Blvd., Suite 501, Denver, CO, 80222","Adoption Options is an inclusive non-profit adoption agency dedicated to enriching the lives of children, youth and families.  We provide education, placement services, counseling and support for all members of the adoption community.
",1981,All Populations,,,,,"Infant adoption, designated adoption, foster to adopt (flexible families), Fresh Beginnings (second chance adoptions), custody evaluations, relinquishment counseling, abbreviated home studies, and training and education.
",Denver
AdvocacyDenver,http://www.advocacydenver.org,[email protected],303-831-7733,"950 S Cherry St Suite 1100, Denver, CO, 80246","AdvocacyDenver promotes and protects the human rights of people with disabilities and actively supports their full inclusion and participation in the community throughout their lifetimes.
",1954,People Living With Disabilities,,https://www.facebook.com/advocacydenverco/,,,"AdvocacyDenver is a civil rights advocacy organization serving children and youth with disabilities and adults with intellectual and developmental disabilities and their families. AdvocacyDenver provides individual, legal, and policy advocacy in Denver county.
",Denver
Advocates for Children CASA,http://www.adv4children.org,[email protected],303.328.2353,"16965 Pine Lane #120, Parker, CO, 80134","Speaking up for abused and neglected children through Court Appointed Special Advocates, CASA volunteers.
",1985,Children and Youth,,,,,"Dependency & Neglect CASAs, Truancy CASAs, Tutoring, Legacy Project Mentoring, Juvenile Delinquency CASAs
",Douglas
AfterHours Denver,https://afterhoursdenver.org,[email protected],(720) 414-0424,"1550 Larimer St, Suite 477, Denver, CO, 80202","We provide essential resources to those experiencing homelessness and poverty, while also offering community to the spiritually independent.
",2008,"All Populations, People Experiencing Homelessness, Low Income, Urban",,https://www.facebook.com/AfterHoursDenver,,https://www.instagram.com/afterhoursdenver,"We make and serve sack lunches everyday to those experiencing homelessness and poverty. We also run two annual free markets in Civic Center Park and Liberty Park where homeless and impoverished individuals can gather essential supplies. These two events are called Thankful for Long Johns and Christmas in the Park. They take place on Thanksgiving Day and Christmas Day. In addition, we create spaces in public places where the spiritually independent can build community.
",Denver
Aims Community College Foundation,https://www.aims.edu/foundation,[email protected],9703396556,"5401 W. 20th Street, Greeley, CO, 80634","To support the goals and objectives of Aims Community College by providing supplemental resources to ensure student success.
",1979,All Populations,,,,,"Scholarship development
Endowments
Program support
",Weld
Alameda Connects ,https://alamedaconnects.org/,[email protected],3032741807,"393 S. Harlan St., 210B, Lakewood, CO, 80226","We Foster Opportunity and Prosperity by Cultivating Connections Through the Celebration of our Vibrant Community
",1997,All Populations,https://twitter.com/AlamedaGateway,https://www.facebook.com/AlamedaConnects/,,https://www.instagram.com/alamedagateway/,"Arts, Street Beautification, Community development, economic development, safety
55,Civic Results,http://www.civicresults.org,[email protected],720.280.3358,"PO BOX 200276, Denver, CO, 80220","Civic Results assists governments, businesses and non-profits in creating measurable change in the physical, social, civic and human infrastructure of their communities and regions.
",1997,Urban,,,,,"Civic Results houses and manages the Metro Mayors Caucus - a program that promotes regional collaboration among its 41 mayor members from cities and towns in the Denver metropolitan area.
",Denver
56,Clean Energy Action,http://cleanenergyaction.org,[email protected],(720)-449-6763,"PO Box 1399, Boulder, CO, 80306","Accelerating the Transition to the Post-Fossil Fuel World: Clean Energy Action recognizes the urgency of the climate crisis and works to accelerate the transition to a post fossil fuel world by working at the local, state, and national levels to inspire, train, and educate both citizens and leaders.
",2005,All Populations,https://twitter.com/ClnEnergyAction,https://www.facebook.com/CleanEnergyAction/,,,"Global Warming Speaker Series
Public Utilities Commission Watchdog Program
Tristate Clean Energy Campaign
Coal Plant Phaseout Campaign
",Boulder
57,CLiC (Colorado Library Consortium),http://www.clicweb.org,[email protected],303-422-1150,"7400 E ARAPAHOE RD STE 75, Centennial, CO, 80112","Connecting. Energizing. Inspiring. Services for libraries throughout Colorado.
",2004,All Populations,,,,,"Provide support and services to Colorado libraries through management of a variety of services, including but not limited to, a courier, continuing education, cooperative purchasing,
consulting, and a union catalog.
",Arapahoe
58,"Clothes To Kids of Denver, Inc.",http://www.clothestokidsdenver.org,[email protected],720-379-4630,"2890 S. Colorado Blvd., Suite M3, Denver, CO, 80222","The mission of Clothes To Kids of Denver is to provide new and quality used clothing to students from low-income or in-crisis families in the Denver Metro Area, free of charge.
",2008,"African-American, Asian-American, Children and Youth, People Living With Disabilities, Families, Gay, Lesbian, Bisexual, Transgender, People Experiencing Homelessness, Immigrants, Latino/Hispanic, Low Income, Men and Boys, American Indian/Native American, Rural, Urban, Women and Girls",https://twitter.com/ClothesToKids,https://www.facebook.com/ClothesToKidsDenver/,https://www.linkedin.com/company/clothes-to-kids-of-denver/,https://www.instagram.com/clothestokidsdenver/,"Clothing Boutique
",Denver
59,Clyfford Still Museum,http://www.clyffordstillmuseum.org/,[email protected],7203544880,"1250 Bannock St, Denver, CO, 80204","The mission of the Clyfford Still Museum is to advance the understanding and appreciation of Clyfford Still's art and legacy through the presentation, research, interpretation, preservation, and stewardship of its unique collections.
",2005,All Populations,https://twitter.com/still_museum,https://www.facebook.com/clyffordstillmuseum,,https://www.instagram.com/still_museum/,"Educational opportunities for school, youth and families.   Membership program opportunities as outlined in membership communications.
",Denver
60,COAEYC,http://www.coloradoaeyc.org,[email protected],‪(970) 633-2294‬,"PO Box 200446, Denver, CO, 80220","COAEYC promotes high quality education and support to children and families. We work to support early childhood educators in Colorado so that they are highly compensated and valued life-long learners, and to support young children so that they can reach their highest potential. COAEYC members are continuously using research and evidence based practices to adapt to the changing conditions and needs of young children, families, and communities in Colorado. ​
",1969,All Populations,https://http://twitter.com/coloradoaeyc,https://www.facebook.com/pages/category/Nonprofit-Organization/Colorado-Association-for-the-Education-of-Young-Children-171880242898/,,,"We collaborate with early childhood professionals and other organizations to create professional development opportunities, such as accessible trainings and early childhood conferences
We participate in multi-organizational work-groups to inform and advance early childhood policies in Colorado
We advocate for statewide and national policies that can benefit children, families, and educators in Colorado 
We connect COAEYC members with local and national news and research that can inform and inspire their work
We give Colorado's early childhood professionals a way to be involved in early childhood advocacy efforts 
We connect early childhood professionals so that they can share their thoughts, concerns, hopes, and collaborate on advancing early childhood in Colorado!
",Denver
61,Coal Creek Adult Education Center,http://coalcreekadulted.org,[email protected],303-819-4104,"941 CEDWICK DR, Lafayette, CO, 80026","The mission of the Coal Creek Adult Education center is to provide high quality, professional, and affordable educational opportunities for motivated adults.
",2013,All Populations,https://twitter.com/CreekAdult,https://www.facebook.com/coalcreekadulted/,,https://www.instagram.com/coalcreekadulteducationcenter/?hl=en,"English as a Second Language, High School Equivalency Prep,
",Boulder
62,Coal Creek Meals on Wheels,http://www.coalcreekmow.org,[email protected],3036650566,"455 N Burlington Avenue, Lafayette, CO, 80026","To provide high quality, nutrient-dense meals to home bound individuals on a daily basis to assist them in living independently while maintaining quality of life.
",1972,"People Living With Disabilities, Elderly, Families",,https://www.facebook.com/coalcreekmealsonwheels/,,http://www.instagram.com/coalcreek_mealsonwheels,"Meal delivery service
Onsite dining for seniors
",Boulder
63,Cognitive Learning Center,https://www.cl-center.org/,[email protected],7204809764,"14282 Elm St., Thornton, CO, 80602","Helping individuals in high-trauma communities live happier healthier lives.
",2018,Other,https://twitter.com/CLCOrganization,https://www.facebook.com/CLCorganization,,https://www.instagram.com/cognitive_learning_center,"Adult and Youth programs for Stress Reduction, Behavioral Health, and Trauma.
",Adams
64,Collaborative Healing Initiative within Communities,https://chicdenver.org,[email protected],720-583-4951,"2102 Marion st, Denver, CO, 80205","Build women's economic, social, and cultural capital because powerful women build healthy families and thriving communities.
",2017,African-American,,,,http://www.instagram.com/chicdenver,"Education
Workforce
Re-entry
Community
",Denver
65,College Track Colorado,http://www.collegetrack.org,[email protected],7206427600,"1391 Speer Blvd., Suite 405, Denver, CO, 80204","College Track is an educational nonprofit working to increase high school graduation, college eligibility and enrollment, and college graduation rates among communities underrepresented in higher education. Our goal is to create college-going cultures by engaging a critical mass of underserved students in College Track programming, partnering with schools and community agencies, and influencing lasting change by raising awareness for college readiness and access initiatives.
",1997,Children and Youth,,https://www.facebook.com/CollegeTrack/,https://www.linkedin.com/company/college-track/,,"All of College Track's programs for high school and college
students are centered on our five core service areas: Academic Summer Advancement Program (ASAP), Academic Affairs, Student Life, College Affairs, and College Success.
",Denver
66,COLOR,http://www.colorlatina.org,[email protected],3033930382,"303 E. 17th Ave. #405, Denver, CO, 80203","COLOR is community rooted nonprofit organization that works to enable Latinx individuals and their families to live safe, healthy and self-determined lives.
",1998,"Children and Youth, Families, Gay, Lesbian, Bisexual, Transgender, Immigrants, Latino/Hispanic, Women and Girls",,,,,"LIPS, Cafecitos, Parent and Family Workshops, Two Gen workshops, Youth of COLOR fellowship
",Denver
67,"Colorado ""I Have A Dream"" Foundation",http://www.cihadf.org,[email protected],303-861-5005,"1836 Grant St., Denver, CO, 80203","Colorado “I Have a Dream” Foundation's mission is to support children from historically under-resourced communities to succeed in school, college, and career by providing academic, social, and emotional support from elementary school through college along with postsecondary tuition assistance.
",1988,All Populations,https://twitter.com/CIHADreamers,https://www.facebook.com/cihadf/,https://www.linkedin.com/company/cihadf,https://www.instagram.com/cihadreamers/,"Founded in 1988, Colorado ""I Have A Dream"" Foundation (CIHAD), educates and inspires youth to achieve their greatest dreams by removing barriers to opportunities. CIHAD helps to close the opportunity gap by providing individualized social, emotional, and academic support to youth in under-resourced communities. By leveraging proven methods accounting for the whole child and by giving youth equal access to the resources they need to succeed, they can see more possibilities, ignite their innate potential, and attain their dreams. CIHAD removes barriers to academic success from kindergarten to career through a comprehensive support model focused on four key components:
- Mental Health and Social-Emotional Support
- Extended Learning Programs
- Workforce Development and Post-Secondary Support
- Family and Community Engagement
",Denver
68,Colorado Artists in Recovery,http://coloradoartistsinrecovery.org,[email protected],7208295655,"2953 S Verbena Way, Denver, CO, 80231","We provide a safe space for people seeking recovery support through art, music, and creative expression. Utilizing the principles of recovery as the foundation, CAiR nurtures the creative spirit and helps build a sense of community and belonging.
",2019,All Populations,,,,,"Art/Music/Meditation classes for people in recovery from substance misuse disorder.
",Denver
69,Colorado Asian Culture and Education Network,,[email protected],7203182357,"12201 E Mississippi Ave #101, Aurora, CO, 80012","The mission of CACEN is to promote Asian cultural education and awareness, while building bridges of understanding between Colorado’s diverse Asian communities and the general public.
",2009,"Asian-American, Children and Youth, Elderly, Families, Immigrants, Low Income, Women and Girls",,https://www.facebook.com/cacenetwork,,,"Colorado Chinese Radio Network, Asian American Hero of Colorado Awards, US Study Tour and Cultural Exchange, COVID-19 Asian Community Response, Asian American Student Leadership Conference, Asian Eats
",Arapahoe
70,Colorado Association of Realtors Foundation,https://www.coloradorealtors.com/about-car/foundation/,,3037857126,"309 Inverness Way S, Englewood, CO, 80112","The Colorado Association of REALTORS® Foundation promotes safe and affordable housing, advances home ownership for all Coloradans and provides housing-related disaster assistance to our neighbors in need
",1960,All Populations,,,,,"Helping Coloradans achieve the American dream of home ownership, disaster relief, and education.
",Douglas
71,Colorado Authors League,https://coloradoauthors.org/,,,"800 High St. 106, Erie, CO, 80516","The Colorado Authors League (CAL) supports and promotes its community of published writers while connecting with and adding value to the reading world.
Formed 90 years ago, authors become members to:
-keep up with changes in the craft of writing, publishing and marketing. CAL wants to understand the many changes taking place because of our digital, connected world. As an organization, we want to help shape solutions for the future.
-gain greater visibility for their writing by working with a group than they might find on their own.
-join a group of like-minded people who love writing, with whom they can share their knowledge, experience, joys of publishing, and contest wins, but also commiserate about losses, rejection letters, and lagging sales. In short, they find new friends.
",1931,All Populations,,https://www.facebook.com/coloradoauthorsleague/,,,,Weld
72,Colorado Bandmasters Association,http://www.coloradobandmasters.org,[email protected],303-328-7277,"6388 S DEXTER ST, Centennial, CO, 80121","1. Promote comprehensinve music education through participation and performance in band. 2. Provide support, leadership, and educational opportunities to students and directors. 3. Provide outstanding educational and performance events and venues that encourage, recognize and reward musical artistry and excellences. 4. Work with other organizations to encourage and promote a lifelong love of music among students, teachers, and the community.
",1980,All Populations,,,,,"Concert, jazz and marching band activities for Colorado students.
",Arapahoe
73,Colorado Behavioral Healthcare Council,http://www.cbhc.org,[email protected],303-832-7594,"303 E. 17th Avenue, Suite 910, Denver, CO, 80203","Supporting community resilience, guiding behavioral health innovation, and partnering to enhance individual wellbeing throughout Colorado.
",1967,All Populations,https://twitter.com/CBHC_News,,,,"Mental Health First Aid Colorado
State Innovation Model - Bi-Driectional Integration
",Denver
74,"Colorado Black Health Collaborative, Inc.",,[email protected],720-999-6180,"17815 E POWERS DR, Centennial, CO, 80015","To achieve health equity in the Black community.
",2009,,,,,,,Arapahoe
75,Colorado Business Committee for the Arts,http://www.cbca.org,[email protected],(720) 428-6720,"789 N SHERMAN ST STE 280, Denver, CO, 80203","Advance Colorado's creative economy by connecting business and the arts
",1985,All Populations,https://twitter.com/cbca,https://www.facebook.com/Colorado-Business-Committee-for-the-Arts-CBCA-46610606328,https://www.linkedin.com/company/colorado-business-committee-for-the-arts-cbca-,https://www.instagram.com/_cbca_/,"CBCA achieves its mission through advocacy, research, training, volunteerism and arts engagement.
",Denver
76,Colorado Ceasefire Outreach,http://www.coloradoceasefire.org,[email protected],303-380-6711,"P.O. Box 7501, Denver, CO, 80207","Working for freedom from gun violence through advocacy, education and outreach
",2015,All Populations,https://twitter.com/COCeasefire,https://www.facebook.com/coceasefire/,,,"Forums on education and outreach on gun violence prevention issues.
",Denver
77,Colorado Center for the Book,http://www.coloradocenterforthebook.org,[email protected],303-894-7951,"1490 N LAFAYETTE ST STE 101, DENVER, CO, 80218","Devoted to encouraging reading and literacy in Colorado through projects and activities that nurture a love of books and reading.
",1987,,,,,,,Denver
78,Colorado Chapter of Postpartum Support International,,[email protected],303-325-1633,"950 South Cherry Street #1240, Denver, CO, 80246","The mission of the Colorado Chapter of Postpartum Support International is to promote awareness, prevention and treatment of mental health issues related to childbearing in every country in Colorado.
",2015,"All Populations, Families, Women and Girls",,https://www.facebook.com/ColoradoPSI/,,,"Warmline support, textline support, local coordinators to help families find support and access to postpartum emotional care, professional and community education
",Denver
79,Colorado Children's Campaign,http://www.coloradokids.org,[email protected],303.620.4521,"1580 Lincoln Street, #420, Denver, CO, 80203","To create hope and opportunity in Colorado, more than one million kids at a time.
",1985,Children and Youth,,,,,"It's About Kids; Raise Colorado; Speak Up for Kids
",Denver
80,Colorado Children's Chorale,http://www.coloradochildrenschorale.org,[email protected],303-892-5600,"2420 W 26TH AVE STE 350D, Denver, CO, 80211","The Colorado Children's Chorale, independently and in collaboration with other performing arts institutions, presents professional choral concerts and educational programs that entertain, inspire and bring joy to audiences and communities. Children of all ethnicities and socio-economic backgrounds thrive in an engaging, disciplined and nurturing environment in which they receive oustanding performance and music training as well as the skills, experiences, and confidence to succeed wherever their lives may take them.
",1974,Children and Youth,,,,,"The Chorale’s Performance Program annually trains 500 members, between the ages of 7 and 14, from all ethnicities and socio-economic backgrounds representing more than 180 schools in the Denver metro area and beyond.  The Chorale presents a series of self-produced concerts, numerous performances with other Colorado arts organizations, and touring around the world.  In addition, the Chorale offers an extensive mission-supporting Education Program. School Partnerships provide weekly choral music and performance training in targeted schools, offering instruction to students and support for teachers with professional conductors, accompanists, choreographers and other resources as needed. School concerts and workshops serve elementary and middle school students, giving school children the opportunity to experience a professional concert by their peers. Community Choirs, including the dual-language Aplausos de Colorado Children’s Chorale, 303 Choir, NE Denver JAMS, Northside Music Project and El Sistema Colorado, provide children the opportunity to rehearse and perform in their own community with no audition necessary.
",Denver
81,Colorado Christian Services,https://christianservices.org/,[email protected],303-761-7236,"3959 E Arapahoe Rd, Centennial, CO, 80122","Colorado Christian Services comes alongside women in unplanned pregnancies and Christian adoptive couples, in building families through caring, experienced and professional adoption planning services.
In addition, our Counseling Program is dedicated to providing quality marriage, family and individual counseling on an affordable fee basis in a safe and comfortable environment.
",1963,"Families, Low Income, Women and Girls",https://twitter.com/COChristianSvcs,https://www.facebook.com/COChristianServices?_rdr=p,,https://www.instagram.com/coloradochristianSvcs/,"Adoptive Parent Services, Domestic Infant Adoption, Designated Adoption Services, Family Assessment Services: Birth Parent Services, Birth Mother Counseling: Marriage, Family, and Individual Counseling.
",Arapahoe
82,Colorado Coalition Against Domestic Violence DBA Violence Free Colorado,http://www.violencefreecolorado.org,[email protected],3038319632,"1330 Fox St., Suite 3, Denver, CO, 80204","Advancing the well-being of all Coloradans through relationships free from abuse and oppression.
",1977,All Populations,https://twitter.com/CCADV1?lang=en,https://www.facebook.com/ViolenceFreeCO/,https://www.linkedin.com/company/colorado-coalition-against-domestic-violence/,,"Founded in 1977, Violence Free Colorado is the state domestic violence coalition. We work with hundreds of organizations and individuals in local communities across the state to prevent and end relationship violence, and support those affected by relationship abuse. We build the capacity of a diverse network of domestic violence and other community-based programs across Colorado to help them effectively assist survivors of relationship violence and their families. Our goal is to improve individual and community health and well-being through statewide visionary advocacy and social change efforts, supporting our members, and informing the public.
",Denver
83,Colorado Coalition for Girls,,,720.839.6628,"1499 JULIAN ST, DENVER, CO, 80204",,,,,,,,,Denver
84,Colorado Coalition For The Homeless,http://www.coloradocoalition.org,[email protected],303-293-2217,"2111 CHAMPA ST, Denver, CO, 80205","To work collaboratively towards the prevention and elimination of homelessness throughout Colorado. This is accomplished through educating the public about homelessness,advocating for improved services.
",1984,"People Experiencing Homelessness, Low Income",,https://www.facebook.com/search/top?q=colorado%20coalition%20for%20the%20homeless,https://www.linkedin.com/company/colorado-coalition-for-the-homeless/mycompany/,,"Housing First, Integrated Health Care, Family Support Services, Behavioral Health, Dental Services, Vision Services, Pharmacy Services, Residential Services, Group Home Services, Outreach, Education and Advocacy, Rural Initiatives, Supportive Services, Recovery Services
",Denver
85,Colorado Community College System,https://cccs.edu,[email protected],303-620-4000,"9101 E Lowry Blvd, Denver, CO, 80230","Our mission is to provide an accessible, responsive learning environment where our students can achieve their educational, professional and personal goals in an atmosphere that embraces academic excellence, diversity and innovation.
We do this by focusing on the whole student, forming lasting relationships, creating education opportunities without barriers, and always looking for ways to expand the range of opportunities that are available to our students.
",1967,All Populations,,,,,"The Colorado Community College System (CCCS) is made of up 13 unique colleges with 38 locations across the state, educating over 125,000 students every year.
",Arapahoe
86,Colorado Community Health Network,http://www.cchn.org,[email protected],3038615165,"600 Grant St., Suite 800, Denver, CO, 80203","CCHN’s mission is to increase access to high quality health care for people in need in Colorado. CCHN’s mission is accomplished by several divisions within the organization, including Policy, Health Center Operations, and Quality Initiatives.
",1982,"African-American, Asian-American, Children and Youth, People Living With Disabilities, Elderly, Families, Gay, Lesbian, Bisexual, Transgender, People Experiencing Homelessness, Immigrants, Latino/Hispanic, Low Income, Men and Boys, American Indian/Native American, Rural, Urban, Veterans, Women and Girls",https://twitter.com/cochcs,https://www.facebook.com/coloradocommunityhealthcenters/,,,"n/a
",Denver
87,Colorado Community Health Network,,,3038615165,"600 Grant Street, Denver, CO, 80203",,,,,,,,,Denver
88,"Colorado Congress of Parents, Teachers and Students",https://copta.org,[email protected],7193519944,"7859 W 38th Ave, Wheat Ridge, CO, 80033","To make every child's potential a reality by engaging and empowering families and communities to advocate for all children.
",1907,Children and Youth,,,,,"Training & outreach, Confererences and Convention, Legislative, Scholarships
",Jefferson
89,Colorado CURE,http://www.coloradocure.org,[email protected],303-758-3390,"3470 S POPLAR ST APT 406, Denver, CO, 80224","Colorado - CURE is one chapter of an international nonprofit, all-volunteer criminal justice advocacy organization. We are dedicated to making positive changes in the criminal justice system.
",1990,All Populations,,,,,"Monthly meetings and newsletters
",Denver
90,Colorado Education Initiative,https://www.coloradoedinitiative.org,[email protected],303-736-6477,"3000 Lawrence Street, Denver, CO, 80205","CEI accelerates educational improvement and innovation across Colorado.
",2007,All Populations,https://twitter.com/edinitiativeco,https://www.facebook.com/coloradoeducationinitiative/,https://www.linkedin.com/company/the-colorado-education-initiative/,https://www.instagram.com/coloradoedinitiative/,"CEI works with teachers, schools, and districts to align innovation improvement efforts in ways that promote system-wide change. We offer training, technical assistance, and thought leadership around critical systemic issues in education, including:
Competency-based and personalized learning:
High school redesign:
Accountability:
The Lab at CEI:
",Denver
91,Colorado Enterprise Fund,http://www.coloradoenterprisefund.org,[email protected],303-860-0242,"1888 Sherman St., Denver, CO, 80203","The mission of Colorado Enterprise Fund is to accelerate community prosperity by financing and supporting entrepreneurs and small businesses.
",1976,"African-American, Asian-American, Immigrants, Latino/Hispanic, Low Income, Rural, Urban, Veterans, Women and Girls",https://twitter.com/COEnterpriseFnd,https://www.facebook.com/ColoradoEnterpriseFund/,https://www.linkedin.com/company/colorado-enterprise-fund?trk=biz-companies-cym,https://www.instagram.com/smallbizdreams/,"Small Business Loans & Free Business Coaching
",Denver
92,Colorado Fallen Hero Foundation,https://cofallenhero.org,[email protected],3038181789,"PO Box 470341, Aurora, CO, 80047","Honoring the Fallen-Respecting the Survivors
",2018,Other,https://@FallenHeroCO,https://facebook.com/COFallenHeroFoundation,,,"We respond to a line of duty death for first responders to support the agency and surviving family members in creating memorial services for their deceased family member.
",Arapahoe
93,Colorado Fourteeners Initiative,http://www.14ers.org,[email protected],303-278-7650,"1600 JACKSON ST STE 205, Golden, CO, 80401","To develop and empower partnerships among nonprofit organizations, concerned individuals, and public agencies in an effort to protect and preserve the natural integrity of Colorado's 54 14,000-foot peaks and the quality of recreational opportunities they provide.
",1996,All Populations,,,,,"Build and Maintain Trails on Colorado's 14,000 foot peaks. Public education and awareness.
",Jefferson
94,Colorado Freedom Fund,http://www.coloradofreedomfund.org,[email protected],7202630111,"PO box 6271, Denver, CO, 80206","Colorado Freedom Fund is a constituent-led, community-wide, Colorado initiative to end wealth-based pre-trial detention (aka money bail or cash bond), while working to end the deleterious effects of such wealth-based detention.
",2018,All Populations,https://twitter.com/@FreedomfundCO,Http://facebook.com/Colorado Freedom Fund,,,"We post low-level bonds for those who are trapped in pre-trail detention due to poverty, thereby restoring them to the presumption of innocence.
We partner with the ACLU to make legal changes at a State Level to address wealth-based detention.
",Denver
95,Colorado Future Farmers of America Foundation,http://www.coloradoffafoundation.org,[email protected],719-829-4483,"PO BOX 1000, Greeley, CO, 80631","The Colorado FFA Foundation seeks resources - human, financial and in-kind - to support agricultural education in Colorado, including students (FFA, ATA and CYFEA), teachers (CVATA) and alumni.
",1991,Children and Youth,,,,,"Scholarships, grants, and event delivery assistance.
",Weld
96,Colorado Gerontological Society,http://www.senioranswers.org,[email protected],3033333482,"1129 Pennsylvania St,, Denver, CO, 80203","To provide information, education and training, advocacy, research, and public policy for persons working in the field of aging and seniors to improve quality of life for older adults.
",1980,Families,,,,,"Benefit Counseling
Holiday Baskets
Salute to Seniors
Education and Training for professionals
Grants for Vision, Hearing and Dental
Advance Care Planning
",Denver
97,Colorado Housing Assistance Corporation,http://www.chaconline.org,[email protected],303-572-9445,"670 SANTA FE DR, Denver, CO, 80204","To provide home ownership opportunities for lower-income Colorado families.
",1984,Low Income,,,,,"Housing education and counseling
Financial assistance to first time homebuyers
",Denver
98,Colorado I Have A Dream Foundation,,[email protected],303-861-5005,"1836 Grant St., CO, 80203","Colorado “I Have A Dream” Foundation is a long-term partner to youth. We believe that through a deep, sustained commitment to youth and their families, our community can thrive, and our work together can be a key catalyst in fighting systemic oppression.
We travel side-by-side with the same group of youth and their families as they navigate education and life, offering academic, social, and emotional support as they learn, grow, and achieve their dreams.
No one should take this journey alone. When we fulfill our promises, anything is possible.
",1988,"Children and Youth, Families",,,,,"Colorado ""I Have A Dream"" Foundation works to ensure that all children have the opportunity to pursue higher education, fulfill their potential, and achieve their dreams. We support youth in their journey to graduate from college by equipping them with the skills and knowledge to succeed in post-secondary opportunities and provide tuition support to remove financial barriers. By helping our youth gain access to college, we are putting them on a different academic and life trajectory, while having a broader impact on the students' families and the generations that follow.
We provide academic and social-emotional support to youth, equipping them with the confidence and life skills needed to pursue their most ambitious dreams.
",Denver
99,Colorado Immigrant Rights Coalition,http://coloradoimmigrant.org/,[email protected],3039223344,"2525 W. Alameda Ave., Denver, CO, 80219","The Colorado Immigrant Rights Coalition (CIRC) is a statewide, membership-based coalition of immigrant, faith, labor, youth, community, business and ally organizations founded in 2002 to improve the lives of immigrants and refugees by making Colorado a more welcoming, immigrant-friendly state. CIRC achieves this mission through non-partisan civic engagement, public education, and advocating for workable, fair and humane immigration policies.
",2002,"Immigrants, Latino/Hispanic",https://twitter.com/CIRCimmigrant,https://www.facebook.com/coloradoimmigrant/,https://www.linkedin.com/company/colorado-immigrant-rights-coalition/,https://www.instagram.com/circimmigrant/,"Citizenship, Immigration Reform, I-Drive, Unite CO/ICE Resistance, Know Your Rights
",Denver
100,Colorado Judicial Institute,http://www.coloradojudicialinstitute.org,[email protected],13037667501,"PO Box 118, Broomfield, CO, 80038","To further public understanding of the Colorado judicial system, to preserve and enhance the independence and excellence of the Colorado courts, and to ensure that the courts meet the needs of the people.
",1979,All Populations,,https://www.facebook.com/Colorado-Judicial-Institute-127684430589204/,https://www.linkedin.com/company/colorado-judicial-institute,,"To further public understanding of the Colorado judicial system, to preserve and enhance the independence and excellence of the Colorado courts, and to ensure that the courts meet the needs of the people.
",Broomfield
101,Colorado Juvenile Defender Center,http://www.cjdc.org,[email protected],303-435-7232,"675 N Grant St., Denver, CO, 80203","The Colorado Juvenile Defender Center is a recognized 501c3 nonprofit organization dedicated to ensuring excellence in juvenile defense and advocacy and justice for all children and youth in Colorado. CJDC strives to elevate the practice of juvenile defense and advocacy by holding up juvenile defense as a skilled specialty practice, presenting continuing legal education seminars, developing resources and materials for juvenile defenders and advocates, and by supporting indigent defense through ongoing litigation support and assistance. CJDC seeks to protect the rights and improve the treatment children and youth in the juvenile justice system through public advocacy, community organizing, non-partisan research and policy development.
",2010,"Children and Youth, Families, Gay, Lesbian, Bisexual, Transgender, Low Income, Men and Boys, Rural, Urban, Women and Girls",,,,,"Believe in Youth: Criminal Expungement and Deregistration Program for juvenile convictions 
Education First - Education Advocacy Program for students facing expulsion or in need of special education representation. 
Legal Resource Center: Training juvenile justice advocates and attorneys in juvenile defense best practices
",Denver
102,Colorado Lawyers Committee,http://www.coloradolawyerscommittee.org,[email protected],303-256-2782,"1401 LAWRENCE ST STE 2300, Denver, CO, 80202","To use all the skills and discipline of the law in the service of others. The Committee is dedicated to creating and increasing opportunities for children, the poor and other disadvantaged communities through advocacy, negotiation and litigation.
",1978,All Populations,https://twitter.com/COLawyersComm,https://www.facebook.com/ColoradoLawyersCommittee/,https://www.linkedin.com/company/colorado-lawyers-committee/,,"The Colorado Lawyers Committee is a nonpartisan consortium of 80 Colorado law firms dedicated to creating and increasing opportunities for children, the poor and other disadvantaged communities through advocacy, negotiation and litigation. The lawyers who donate their time through the Lawyers Committee focus primarily on major public policy issues and systemic changes rather than representation of individuals. This past year, more than 1,000 volunteers donated nearly 7,800 hours to 29 Colorado Lawyers Committee projects  in the areas of: Poverty & Public Benefits, Civil Rights & Criminal Law, Children’s Rights & Education, Community Development, and Immigration.
",Denver
103,Colorado Mental Wellness Network,http://www.cmwn.org,[email protected],7208429222,"2390 S Downing St, Suite C, Denver, CO, 80210","Through education and advocacy, the Network seeks to provide opportunities for individuals to improve the quality of their lives, give back to the community through meaningful roles, and to change the perceptions of mental health.
",2011,"All Populations, People Living With Disabilities, Low Income",,https://www.facebook.com/ColoradoWellnessNetwork/,,,"Mental Health Equality in the Workplace
Peer Pathways to Wellness
Peer Support Specialist Training
Wellness Recovery Action Plan (WRAP)
Grassroots Legislative Advocacy
",Denver
104,Colorado Music Bridge,https://www.coloradomusicbridge.org/,[email protected],3034085432,"5783 Sheridan Frontage Rd, Suite 101, Arvada, CO, 80002","Providing affordable, modern music education and mentorship for youth. Guiding young professional musicians in the art of teaching to help grow their career opportunities.
",2020,"All Populations, Children and Youth, Low Income",,https://www.facebook.com/coloradomusicbridge,,,"Beginner Audio Production, Modern Keyboard, College & Audition Prep , Modern Voice
",Jefferson
